study_id,bibtex_key,N,design,rob,construct,family,cohen_d,hedges_g,status,note,se_g,ci_low,ci_high,ci_kind
1,1Barbatsis201159,17,quasi_experimental,High,knowledge,change,1.28,1.22,estimable,Wilcoxon Z; r->d (approx),0.312,0.61,1.83,approx
2,2Mahamarowi2023133,19,descriptive,High,,,,,not_estimable,descriptive statistics only,,,,none
3,3Watson2011466,98,case_study,Moderate,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
4,4Cruz2017,508,design_based,Moderate,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
5,5kazanidis2018alpha,28,descriptive,Moderate,,,,,not_estimable,descriptive statistics only,,,,none
6,6Czerwinski2018,30,descriptive,High,,,,,not_estimable,descriptive statistics only,,,,none
8,8Yu2014,103,quasi-experimental pretest/posttest comparative study with mixed methods (quantitative and qualitative),High,knowledge,between,0.40,0.39,estimable,"post-test achievement CGBI vs NCGBI, t; per-arm class sizes not reported (N=103), equal split assumed",0.198,0.01,0.78,assumed
9,9Lin2018,27,Pre-experimental (one-group pretest-posttest design),High,knowledge,change,1.58,1.53,estimable,learning effectiveness pre-post; capped at 1.5 for plot,0.280,0.98,2.08,exact
10,10Huaman2019220,15,Single-group post-test only (user elicitation study with questionnaire-based evaluation),High,,,,,not_estimable,insufficient statistics to compute a standardized effect size,,,,none
11,11Ternblad2023115,106,Quasi-experimental within-subjects repeated measures design with two conditions (individual play vs. pair play on a shared tablet),Moderate,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
12,12Gilbert2019108,14,"qualitative interview study (semistructured interviews, narrative inquiry, inductive thematic analysis following Creswell's data analysis spiral)",Moderate,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
13,13Humpire2022,,Design-based research with acceptance testing (pre-test/post-test surveys and interviews with schoolchildren),High,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
14,14Forsyth2023,45,qualitative case study,High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
15,15Slater2022,2417,Quasi-experimental with latent class analysis,Low,,,,,not_estimable,insufficient statistics to compute a standardized effect size,,,,none
16,16Chen201447,38,pre-experimental (one-group pretest-posttest),High,knowledge,change,0.86,0.85,estimable,historical knowledge pre-post,0.186,0.48,1.21,exact
17,17Manzanares2019,,"Design-based research (system design and description, no empirical evaluation with participants)",High,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
18,18Shih201054,,design and development research (no empirical evaluation reported),High,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
19,19Chou2019,66,single-group pre-experimental pretest-posttest design,High,knowledge,change,1.18,1.17,estimable,knowledge pre-post,0.158,0.86,1.48,exact
20,20Erandaru2014,,"Design-based research (game design and development, first stage only; no empirical evaluation)",High,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
21,21Ghulamani2017,8,"Qualitative design-based research (classroom observation, preliminary interviews, prototype development, and cognitive walkthrough evaluation with think-aloud technique)",High,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
22,22Nugroho2020149,5,Design and development research with post-play survey using 5-point Likert scale questionnaire,High,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
23,23Zin2009322,582,"mixed-methods (preliminary needs analysis via questionnaire and interview, document analysis, and literature review leading to model proposal)",High,,,,,not_estimable,descriptive statistics only,,,,none
24,24Ghannem2019,36,Quasi-experimental with pre-test/post-test control group design,High,knowledge,change,,,not_estimable,Wilcoxon W (game phase); reported p<.01,,,,none
25,25Repantis2011502,,descriptive,High,,,,,not_estimable,descriptive statistics only,,,,none
28,28Chao201734,44,Quasi-experimental (non-equivalent control group design with pre-test and post-test),High,knowledge,between,0.17,0.17,estimable,"post-test achievement E vs C (21 experimental, 23 control)",0.297,-0.42,0.75,exact
29,29Stiso20201165,29,qualitative case study with interaction analysis and qualitative coding of written artifacts and video data,High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
30,30Zin2008,597,"Mixed methods: document analysis of SPM performance reports (2002-2005), questionnaire survey, and teacher interviews; followed by a design proposal (GBL Model)",High,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
31,31DeAmicis2009451,100,descriptive,High,,,,,not_estimable,descriptive statistics only,,,,none
32,32Cheng20241718,20,Prototype development and evaluation using questionnaire-based usability and functional testing with GameFlow scale analysis,High,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
34,34Serrano2023,47,"Longitudinal qualitative study (4 academic years: 2017/2018 to 2020/2021, applied in 1st, 2nd, and 4th year of ESO)",High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
35,35Fernandez2023,23,Qualitative autoethnographic research (teacher-researcher autoethnography with ethnographic recording of student interventions),High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
36,36Scholz2021,15,"Mixed-methods (pre-/post-questionnaires, two focus groups, and two in-class observations by a third-party research assistant)",Moderate,,,,,not_estimable,insufficient statistics to compute a standardized effect size,,,,none
37,37Lewis202054,,descriptive,High,,,,,not_estimable,descriptive statistics only,,,,none
38,38Mercik2024,110,"Mixed methods: pre-post anonymous surveys with open-ended questions, in-depth qualitative interviews, and classroom observation/practitioner report",High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
39,39Tegos2014838,34,One-shot pre-post questionnaire study (no control group),High,attitude,change,0.72,0.70,estimable,pedagogical value (attitude); r reported .24,0.188,0.33,1.07,approx
40,40Kuran2018,,qualitative observational study,High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
41,41Petersen2023301,22,quasi_experimental,High,,,,,not_estimable,insufficient statistics to compute a standardized effect size,,,,none
42,42Huffer201581,,case_study,High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
43,43ali2018indonesian,60,mixed_methods,High,,,,,not_estimable,insufficient statistics to compute a standardized effect size,,,,none
44,44Shiue2016,112,survey-based quantitative study using structural equation modeling (PLS-SEM),High,,,,,not_estimable,descriptive statistics only,,,,none
45,45Yu2016727,29,pre-experimental (single group pre-post test with survey),High,knowledge,change,1.43,1.39,estimable,history knowledge pre-post,0.257,0.89,1.90,exact
46,46Stirling2022,213,qualitative survey with speculative design fiction,High,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
47,47Clara2010156,428,Case study with survey-based evaluation,High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
48,48Moketar2021,32,Design-based research with post-implementation survey evaluation,High,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
49,49Huizenga2007127,500,Quasi-experimental with mixed methods (quantitative and qualitative),High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
50,50Lye2013,5,qualitative case study with interviews and open-ended discussion,High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
51,51Ardito2007,4,qualitative pilot usability study,High,,,,,not_estimable,qualitative design; no standardized outcome,,,,none
52,52Lin2011265,30,quasi-experimental with pretest-posttest nonequivalent control group design,High,knowledge,between,,,not_estimable,post-test; SDs not reported -> from gain t below,,,,none
53,53Perez2014,,Randomized controlled experiment (two-group comparison: control group watching interactive film vs experimental group playing serious game),High,,,,,not_estimable,no outcome statistics reported,,,,none
54,54Gibson2007,,"Design-based research with iterative prototyping, qualitative case study with pre- and post-game surveys, videotaped and in-person observations, and content analysis of debates, game discussions, and notes",High,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
55,55Squire2004,18,Qualitative case study within a design experiment methodology,Moderate,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
56,56Akkerman2009449,216,"qualitative case study with mixed methods (content analysis of game design, observations, coach observation forms with Likert scales, group interviews, media box/log analysis)",Moderate,,,,,not_estimable,design/development study; no comparative outcome test,,,,none
58,58Shih2015173,30,pre-experimental (one-group pretest-posttest),High,knowledge,change,4.10,3.99,estimable,learning effectiveness pre-post (outlier); capped at 1.5 for plot,0.545,2.92,5.06,exact
