study_id,authors,year,country,education_level,sample_size,study_design,game_type,game_name,meets_criteria
1,"Barbatsis, Kostas; Economou, Daphne; Papamagkana, Ioanna; Loukas, Dimos",2011,"Greece, United Kingdom",secondary,17,quasi_experimental,vr_ar,VRLerna,True
10,Evelyn Marilyn Riveros Huaman; Roni Guillermo Apaza Aceituno; Olha Sharhorodska,2019,Peru,"Higher education (university-level art students, ages 17-22)",15,Single-group post-test only (user elicitation study with questionnaire-based evaluation),Virtual reality educational game (virtual museum with gamification elements),Virtual museum VLE (unnamed prototype built in Unity3D),True
11,Eva-Maria Ternblad; Sam Bagra; Agneta Gulz; Magnus Haake; Betty Tärning,2023,Sweden,"Middle school (5th and 6th grade, ages 10-12)",106,Quasi-experimental within-subjects repeated measures design with two conditions (individual play vs. pair play on a shared tablet),"Educational history game (drill-and-practice with narrative elements, concept maps, timelines, multiple-choice questions)","Not explicitly named; described as an educational game in history used in prior research (Silvervarg et al., 2020; Ternblad & Tärning, 2020; Tärning et al., 2020)",True
12,Lisa Gilbert,2019,United States,"secondary (high school, grades 9-12)",14,"qualitative interview study (semistructured interviews, narrative inquiry, inductive thematic analysis following Creswell's data analysis spiral)",commercial off-the-shelf (COTS) narrative action-adventure video game,"Assassin's Creed (franchise, primarily Assassin's Creed III)",True
13,Javier Apaza Humpire; Maria Guerra Vidal; Miguel Tupayachi Moina; Milagros Vega Colque; José Sulla-Torres,2022,Peru,Primary (ages 10-12),,Design-based research with acceptance testing (pre-test/post-test surveys and interviews with schoolchildren),Digital card game (battle card game),Battle Card,True
14,Harrison Forsyth,2023,Canada,higher education (third-year university),45,qualitative case study,student-designed 3D virtual environment / VR simulation using game engine,Virtual City Project (custom project built in Unity 3D with Rome Fantasy Pack asset package),True
15,Stefan Slater; Ryan S. Baker; David Gagnon; Erik Harpstead; Juliana Ma; Alexandra L. Andres; Luke Swanson,2022,United States,Elementary and middle school (K-8),2417,Quasi-experimental with latent class analysis,"Point-and-click history adventure game (digital, narrative-driven exploration game)",Jo Wilder and the Capitol Case,True
16,Hao-Wei Chen; Huei-Tse Hou; Yi-Shiuan Chou,2014,Taiwan,higher_education,38,pre-experimental (one-group pretest-posttest),first-person adventure action game,Code Book©,True
17,M.C. Saiz Manzanares; M.J. Zaparain Yáñez; S. Rodríguez Arribas; A. Bustillo Iglesias,2019,Spain,Higher education (undergraduate),,"Design-based research (system design and description, no empirical evaluation with participants)",Serious game / graphic adventure videogame with gamification elements,SmartArt,True
18,Ju-Ling Shih; Jia-Jiun Tseng; Chien-Wen Chuang; Bai-Jiun Shih,2010,Taiwan,primary and secondary education,,design and development research (no empirical evaluation reported),3D role-playing game (RPG),Southern Taiwan Anti-Japanese War RPG (built with Oblivion game engine),True
19,Yi-Shiuan Chou; Huei-Tse Hou; Chien-Lun Su; Kuo-En Chang,2019,Taiwan,high school,66,single-group pre-experimental pretest-posttest design,mobile educational card game,Void Broken 2.0,True
2,Noor Hafizah Mahamarowi; Muhamad Rizal Bin Ja'afar; Safinaz Mustapha; Khairul Huda Yusof,2023,Malaysia,secondary,19,descriptive,digital_custom,Laksamana (3D game based on Hikayat Hang Tuah),True
20,Erandaru; Liliana; Silvia Rostianingsih,2014,Indonesia,Primary/secondary education (Indonesian curriculum context; game also designed with undergraduate student involvement),,"Design-based research (game design and development, first stage only; no empirical evaluation)",Computer simulation/strategy game (turn-based education-strategy hybrid),Unnamed Majapahit simulation game (no formal title given),True
21,Sumbul Ghulamani; Asadullah Shah; Kamran Khowaja,2017,"Pakistan, Malaysia",Secondary school (8th grade),8,"Qualitative design-based research (classroom observation, preliminary interviews, prototype development, and cognitive walkthrough evaluation with think-aloud technique)",Digital game-based learning (DGBL) prototype - desktop application,History course game prototype (unnamed),True
22,Supeno Mardi Susiki Nugroho; Muhammad Daffa Abiyyu Rahman; Mochamad Hariadi; Muhammad Arief,2020,"Indonesia, Japan",High school (Grade X / 10th grade),5,Design and development research with post-play survey using 5-point Likert scale questionnaire,"Puzzle-adventure digital educational game (2D, WebGL browser-based)",Prehistoria,True
23,Nor Azan Mat Zin; Azizah Jaafar; Wong Seng Yue,2009,Malaysia,secondary education,582,"mixed-methods (preliminary needs analysis via questionnaire and interview, document analysis, and literature review leading to model proposal)",digital game-based learning (DGBL) courseware / educational game,DGBL-ID model (proposed framework; no specific game name - prototype to be developed using Virtools for 3D educational game),True
24,Aymen Ghannem; Mohamed Ali Khenissi; Fathi Essalmi; Alaa A. Qaffas,2019,"Tunisia, Saudi Arabia","Secondary school (average age 18-20, from different schools in Kairouan)",36,Quasi-experimental with pre-test/post-test control group design,"Educational computer game (2D action game, browser-based)",LAST MISSION,True
25,Vyzantinos Repantis; Sophia Delidaki,2011,Greece,secondary,,descriptive,digital_custom,History Game (Mycenaean era stereoscopic 3D game),True
26,Dora Dias; Jose Ferraz-Caetano; Joao Paiva,2021,Portugal,"Middle school (7th and 8th grade, students under 14 years old)",280,"Exploratory pilot study with mixed-methods evaluation (game reports, 10-question quiz, voluntary individual inquiry with Likert scale)","Physical board game with digital presentation elements, hands-on chemistry laboratory activities, and storytelling/role-playing",Ethics against Chemistry,False
27,Kaoru Sumi; Shusuke Sato,2022,Japan,higher education (university),18,pilot experimental study with questionnaire and semantic differential (SD) method evaluation,custom game-based experiential learning system with automatic story generation in virtual space,Game-Based Story Generation System Using Player's Emotions (custom prototype),False
