study_id,bibtex_key,title,meets_criteria,is_history_education,is_primary_study,has_gamification,concerns
1,1Barbatsis201159,3D Environments with Games Characteristics for Teaching History: The VRLerna Case Study,True,True,True,True,Very small sample size (N=17) from a single class. The study uses a pre-post test design without a control group.
10,10Huaman2019220,Application of Virtual Reality and Gamification in the Teaching of Art History,True,True,True,True,The study focuses on Art History rather than general history education; the gamification elements are not deeply specified beyond scoring and stage progression; the study uses a very small sample (n=15) with no control group and only post-test measures
11,11Ternblad2023115,Are Pairs More Attentive Towards Feedback Than Individuals? A Glance Into Feedback Neglect for Middle-School Students Using an Educational Game in History,True,True,True,True,"The study focuses on feedback neglect behavior in a history educational game context rather than on history learning outcomes directly. Gamification elements (feedback systems, game-based tasks, progression mechanics) are present but the primary focus is on collaborative learning and feedback engagement rather than gamification per se."
12,12Gilbert2019108,"""Assassin's Creed reminds us that history is human experience"": Students' senses of empathy while playing a narrative video game",True,True,True,True,The study examines out-of-classroom gameplay without formal instructional integration; it focuses on unmediated student engagement with a commercial game rather than a designed educational gamification intervention. The game was not used in a classroom setting but rather studied for its influence on students' historical perceptions.
13,13Humpire2022,"Battle Card, Card Game for Teaching the History of the Incas Through Intelligent Techniques",True,True,True,True,The study is primarily a software engineering/game development paper with limited formal educational evaluation. The sample size is not explicitly reported. The evaluation relies mainly on game quality metrics and informal satisfaction surveys rather than rigorous educational outcome measures.
14,14Forsyth2023,Building a virtual Roman city: teaching history through video game design,True,True,True,True,The study focuses on constructionist game design (students designing/building in a game engine) rather than playing a pre-made educational game. It is a qualitative case study with no control group or quantitative outcome measures. The gamification element is through the use of game design technology (Unity 3D) and VR rather than traditional gamification mechanics like points or badges.
15,15Slater2022,Changing Students' Perceptions of a History Exploration Game Using Different Scripts,True,True,True,True,"The study focuses on engagement profiles and perceptions rather than direct learning outcomes. It examines gamification elements (narrative scripts, character dialogue) within a history education game, which aligns with the review scope."
16,16Chen201447,"Code Book©- The development of an Adventure Action Game for History Instruction and the Evaluation of Flow State, Learning Performance and Gender Difference",True,True,True,True,Short conference paper (3 pages) with limited methodological detail; single-group design without control group limits causal inference
17,17Manzanares2019,Design of a SmartArt Classroom in Art History: A Learning Experience with Self-Regulated Serious Games,True,True,True,True,This is primarily an art history education study rather than general history education. The study is a design paper describing the SmartArt system without empirical evaluation data from actual participants. It focuses on Classical Greek Sculpture as the content domain. No sample size or empirical results are reported from a formal study with students.
18,18Shih201054,Designing a Role-play Game for Learning Taiwan History and Geography,True,True,True,True,"This is a design-only paper with no empirical evaluation conducted. The authors state that usability evaluation and educational experiments (pre/post-tests, questionnaires, focus group interviews) are planned for future work. No learning outcomes data are reported."
19,19Chou2019,"Designing and evaluating a mobile educational game ""Void Broken 2.0"" for history instruction",True,True,True,True,No control group; pre-experimental design limits causal claims. Short intervention (50 minutes of gameplay).
2,2Mahamarowi2023133,3D Game-Based Approach to Learning Ancient Malay Heritage's History,True,True,True,True,Small sample size (n=19 for evaluation). Primarily a design-and-development study with limited formal evaluation methodology. No control group comparison with statistical analysis. Qualitative evaluation is informal (observation and verbal questioning).
20,20Erandaru2014,Designing Computer Simulation Game for Learning the History of the Kingdom of Majapahit,True,True,True,True,"This is a design paper (stage 1 of a two-stage project) describing game concept, design methodology, and asset creation. No empirical evaluation of learning outcomes or user testing with students is reported. The second stage (prototype development and evaluation) was planned but not yet completed at time of publication."
21,21Ghulamani2017,Development of a game for History Course of Secondary School Students,True,True,True,True,"The study focuses on game prototype development and formative evaluation (cognitive walkthrough with teachers only), not on measuring student learning outcomes. No student-based experiment was conducted. The game is a DGBL prototype rather than a gamification application per se, though it incorporates gamification elements like practice tests, feedback emojis, and performance tracking."
22,22Nugroho2020149,Development of Educational Game for Indonesian History Lesson Focusing on Indonesia Pre-Literacy Relics 'Prehistoria' for Grade X High School Student,True,True,True,True,Very small sample size (n=5 respondents); no pre-post test of learning outcomes; primarily a game development study with limited evaluation of educational effectiveness; COVID-19 pandemic prevented controlled face-to-face testing
23,23Zin2009322,Digital Game-based learning (DGBL) model and development methodology for teaching history,True,True,True,True,"This is primarily a model/framework proposal paper rather than an empirical evaluation of a finished game. The empirical component is a preliminary needs analysis survey, not an intervention study testing game effectiveness. The proposed game prototype had not yet been developed or evaluated at the time of publication."
24,24Ghannem2019,Educational Computer Game for learning History: Impact on learners' level of knowledge and learners' satisfaction,True,True,True,True,"Small sample size (N=36) with unequal groups (20 vs 16). The game is a purpose-built educational game rather than gamification of traditional instruction, but it contains gamification elements (points, levels, feedback, challenges)."
25,25Repantis2011502,Engaging Students in Developing a Stereoscopic 3D Educational History Game,True,True,True,True,No formal evaluation of learning outcomes was conducted; the study is primarily descriptive of the game design process. No quantitative or qualitative data on player learning is reported.
26,26Dias2021,"""Ethics against Chemistry"": Solving a Crime Using Chemistry Concepts and Storytelling in a History of Science-Based Interactive Game for Middle School Students",False,False,True,True,"This study is fundamentally about chemistry/science education that uses a historical narrative (a 19th century Portuguese forensic case) as a storytelling device. The primary educational goals are chemistry curricular objectives (precipitation reactions, oxidation-reduction, acid-base classification, catalysis, etc.) and science ethics, NOT history education. The 'history of science' component serves as a narrative wrapper to make chemistry learning engaging, not as a subject being taught. Students are not assessed on historical knowledge or historical thinking skills. The learning outcomes measured are chemistry content knowledge, scientific reasoning, ethical judgment, and activity satisfaction -- not historical understanding."
27,27Sumi2022,Experiences of Game-Based Learning and Reviewing History of the Experience Using Player's Emotions,False,False,True,True,"This study is NOT about history education. The word 'history' in the title refers to the operational/action history (log of player actions and emotions over time) during a game-based learning experience, not to history as a school subject. The game involves using a 'magical tool' to extract objects from a desk and vending machine in a virtual office environment. There is no historical content, no history curriculum, and no history learning objectives. The study focuses on experiential learning review through emotion-annotated action logs, which is a general game-based learning / affective computing study."
28,28Chao201734,"Exploration on the Effectiveness of Learning, Interest, and Attitude of the Integration of Review System of History Based on Mobile Game and Forgetting Curve",True,True,True,True,The study focuses on social studies/history at the primary school level in Taiwan. The game is specifically a review system rather than a primary instructional tool. The history content is from fourth-grade Taiwanese curriculum.
29,29Stiso20201165,Fostering Perspective-Taking in History Students Through Board Games,True,True,True,True,"The study is qualitative with no control group or standardized outcome measures; analysis is illustrative rather than representative. However, it is a primary empirical study on game-based history education."
3,3Watson2011466,A case study of the in-class use of a video game for teaching high school history,True,True,True,True,"The study is qualitative only, with no quantitative outcome measures of learning. However, it provides rich descriptive data on the use of a video game in history education."
30,30Zin2008,Game Based Learning Model for History Courseware: A Preliminary Analysis,True,True,True,True,This is primarily a needs analysis and design model proposal rather than an evaluation of an implemented game-based intervention. No game was actually developed or tested with students. The study proposes a GBL model but does not measure learning outcomes from any game intervention.
31,,Game based technology to enhance the learning of history and cultural heritage,True,True,True,True,Primarily a system/design description paper with only brief mention of user testing. No formal empirical evaluation reported beyond 'positive feedback' from 100+ users. Borderline for inclusion as it lacks formal outcome measures.
32,32Cheng20241718,Game-based augmented reality learning of Sarawak history in enhancing cultural heritage preservation,True,True,True,True,The study focuses on cultural heritage preservation through history learning rather than formal history education in a classroom setting; sample is general participants rather than students in a history course; no control group or pre-post comparison
33,33Oceja2022419,Games for Teaching and Learning History: a Systematic Literature Review,False,True,False,True,"This is a systematic literature review, not a primary empirical study. It synthesizes 78 studies on games for teaching geography and history in secondary education. It does not involve direct implementation or empirical data collection with learners. Additionally, it covers geography and history combined, not exclusively history education. The review explicitly excludes literature reviews from its own included studies."
34,34Serrano2023,Gamification and the History of Art in Secondary Education: A Didactic Intervention,True,True,True,True,The study focuses specifically on Art History content within the broader Geography and History subject. It is a primary empirical study with gamification intervention in a history-related educational context.
35,35Fernandez2023,"Gamification, Pandemic and Learning the History of Ideas. Experiments in the Context of Core Curriculum",True,True,True,True,"The study focuses on the history of ideas/philosophy rather than history in the strict disciplinary sense, though it is framed within humanities education and involves historical thinking skills. The study is qualitative with no control group or quantitative measures."
36,36Scholz2021,Gamifying History: Designing and Implementing a Game-Based Learning Course Design Framework,True,True,True,True,"Small sample size (n=15, with only 12 consenting to data use). Single institution, single course implementation. The study focuses on a game-based learning course design framework rather than a standalone digital game, but it incorporates gamification elements and game-based learning principles into history education."
