old_id,new_id,title,bibtex_key
1,1,3D Environments with Games Characteristics for Teaching History: The VRLerna Case Study,1Barbatsis201159
2,2,3D Game-Based Approach to Learning Ancient Malay Heritage's History,2Mahamarowi2023133
3,3,A case study of the in-class use of a video game for teaching high school history,3Watson2011466
4,4,A game for learning history on mobile devices,4Cruz2017
5,5,A Pilot Evaluation of a Virtual Reality Educational Game for History Learning,5kazanidis2018alpha
6,6,Acquiring the History of the City with Collaborative Game Based Learning,6Czerwinski2018
7,7,Age of Computers: An Innovative Combination of History and Computer Game Elements for Teaching Computer Fundamentals,7Natvig2004F-1
8,8,"An Exploration of Computer Game-Based Instruction in the ""World History"" Class in Secondary Education: A Comparative Study in China",8Yu2014
9,9,An Investigation of the Influence of Learning Effectiveness and Motivations in a Taiwan History Digital Game – Govern Formosa,9Lin2018
10,10,Application of Virtual Reality and Gamification in the Teaching of Art History,10Huaman2019220
11,11,Are Pairs More Attentive Towards Feedback Than Individuals? A Glance Into Feedback Neglect for Middle-School Students Using an Educational Game in History,11Ternblad2023115
12,12,"""Assassin's Creed reminds us that history is human experience"": Students' senses of empathy while playing a narrative video game",12Gilbert2019108
13,13,"Battle Card, Card Game for Teaching the History of the Incas Through Intelligent Techniques",13Humpire2022
14,14,Building a virtual Roman city: teaching history through video game design,14Forsyth2023
15,15,Changing Students' Perceptions of a History Exploration Game Using Different Scripts,15Slater2022
16,16,"Code Book©- The development of an Adventure Action Game for History Instruction and the Evaluation of Flow State, Learning Performance and Gender Difference",16Chen201447
17,17,Design of a SmartArt Classroom in Art History: A Learning Experience with Self-Regulated Serious Games,17Manzanares2019
18,18,Designing a Role-play Game for Learning Taiwan History and Geography,18Shih201054
19,19,"Designing and evaluating a mobile educational game ""Void Broken 2.0"" for history instruction",19Chou2019
20,20,Designing Computer Simulation Game for Learning the History of the Kingdom of Majapahit,20Erandaru2014
21,21,Development of a game for History Course of Secondary School Students,21Ghulamani2017
22,22,Development of Educational Game for Indonesian History Lesson Focusing on Indonesia Pre-Literacy Relics 'Prehistoria' for Grade X High School Student,22Nugroho2020149
23,23,Digital Game-based learning (DGBL) model and development methodology for teaching history,23Zin2009322
24,24,Educational Computer Game for learning History: Impact on learners' level of knowledge and learners' satisfaction,24Ghannem2019
25,25,Engaging Students in Developing a Stereoscopic 3D Educational History Game,25Repantis2011502
26,26,"""Ethics against Chemistry"": Solving a Crime Using Chemistry Concepts and Storytelling in a History of Science-Based Interactive Game for Middle School Students",26Dias2021
27,27,Experiences of Game-Based Learning and Reviewing History of the Experience Using Player's Emotions,27Sumi2022
28,28,"Exploration on the Effectiveness of Learning, Interest, and Attitude of the Integration of Review System of History Based on Mobile Game and Forgetting Curve",28Chao201734
29,29,Fostering Perspective-Taking in History Students Through Board Games,29Stiso20201165
30,30,Game Based Learning Model for History Courseware: A Preliminary Analysis,30Zin2008
31,31,Game based technology to enhance the learning of history and cultural heritage,
32,32,Game-based augmented reality learning of Sarawak history in enhancing cultural heritage preservation,32Cheng20241718
33,33,Games for Teaching and Learning History: a Systematic Literature Review,33Oceja2022419
34,34,Gamification and the History of Art in Secondary Education: A Didactic Intervention,34Serrano2023
35,35,"Gamification, Pandemic and Learning the History of Ideas. Experiments in the Context of Core Curriculum",35Fernandez2023
36,36,Gamifying History: Designing and Implementing a Game-Based Learning Course Design Framework,36Scholz2021
37,37,Grand Theft Longboat: Using Video Games and Medievalism to Teach Medieval History,37Lewis202054
38,38,History on the Game Board: The Use of Board Games in Polish History Education,38Mercik2024
39,39,HistoryLand: a Serious Game for History Learning in Primary Education,39Tegos2014838
40,40,History-Themed Games in History Education: Experiences on a Blended World History Course,40Kuran2018
41,41,How a Serious Game Supports Elementary School History Classes in Teaching About the Bombardment of Copenhagen in 1807,41Petersen2023301
42,42,How Much Life do I Lose from the Plague? Educational Board Games as Teaching Tools in Archaeology and Ancient History Courses,42Huffer201581
43,43,Indonesian History Educational Card Game: Gamification of the Process of Learning to Increase Interest in History among Children,43ali2018indonesian
44,44,"Investigating elementary students' epistemological beliefs, game preference by applying game-based learning to a history course",44Shiue2016
45,45,Jingnan Campaign©-Using Game-Based Assessment with the Mechanism of Strategy Games for History Teaching: System Development and Learning Evaluation,45Yu2016727
46,46,Learning About the Past Through Digital Play: History Students and Video Games,46Stirling2022
47,47,Learning Chinese History through Digital Game,47Clara2010156
48,48,Learning Cultural Heritage History in Muzium Negara through Role-playing Game,48Moketar2021
49,49,Learning History by Playing a Mobile City Game,49Huizenga2007127
50,50,Learning History Through Computer Game Authoring,50Lye2013
51,51,Mobile games to foster the learning of history at archaeological sites,51Ardito2007
52,52,Online Interactive Game-Based Learning in High School History Education: Impact on Educational Effectiveness and Student Motivation,52Lin2011265
53,53,Playhist: Play and Learn History. Learning with a Historical Game vs An Interactive Film,53Perez2014
54,54,"Reliving History with ""Reliving the Revolution"": Designing Augmented Reality Games to Teach the Critical Thinking of History",54Gibson2007
55,55,Replaying History: Engaging Urban Underserved Students in Learning World History Through Computer Simulation Games,55Squire2004
56,56,Storification in History education: A mobile game in and about medieval Amsterdam,56Akkerman2009449
57,57,Student-Made Games to Learn the History of Mathematics,57Huntley2011567
58,58,Sustaining mobile learning with pervasive game: An example of cultural history exploration,58Shih2015173
59,59,Teaching History in an Age of Pervasive Computing: The Case for Games in the High School and Undergraduate Classroom,59Kee2014270
61,60,Teaching History With Custom-Built Board Games,61Hoy2018
62,61,Teaching history with the video game Assassin’s Creed: effective teaching practices and reported learning,62Karsenti202027
63,62,"The ""Architectural Jewels of Lublin"" Game as a Tool for Collaborative Interactive Learning of History",63Milosz201896
