study_id,bibtex_key,domain1_judgment,domain2_judgment,domain3_judgment,overall,meets_criteria
1,1Barbatsis201159,High,Moderate,Moderate,High,True
10,10Huaman2019220,High,High,High,High,True
11,11Ternblad2023115,Moderate,Moderate,Low,Moderate,True
12,12Gilbert2019108,High,Low,Moderate,Moderate,True
13,13Humpire2022,High,High,High,High,True
14,14Forsyth2023,High,High,Low,High,True
15,15Slater2022,Moderate,Low,Low,Low,True
16,16Chen201447,High,Moderate,Moderate,High,True
17,17Manzanares2019,High,High,High,High,True
18,18Shih201054,High,High,High,High,True
19,19Chou2019,High,Low,Moderate,High,True
2,2Mahamarowi2023133,High,High,High,High,True
20,20Erandaru2014,High,High,High,High,True
21,21Ghulamani2017,High,High,High,High,True
22,22Nugroho2020149,High,High,Moderate,High,True
23,23Zin2009322,High,High,High,High,True
24,24Ghannem2019,High,High,Moderate,High,True
25,25Repantis2011502,High,High,High,High,True
26,26Dias2021,High,High,Low,High,False
27,27Sumi2022,High,High,High,High,False
28,28Chao201734,High,Moderate,High,High,True
29,29Stiso20201165,High,High,Moderate,High,True
3,3Watson2011466,Moderate,Low,Low,Moderate,True
30,30Zin2008,High,High,High,High,True
31,,High,High,High,High,True
32,32Cheng20241718,High,High,High,High,True
33,33Oceja2022419,High,High,Moderate,High,False
34,34Serrano2023,High,High,Moderate,High,True
35,35Fernandez2023,High,High,High,High,True
36,36Scholz2021,High,Moderate,Low,Moderate,True
37,37Lewis202054,High,High,High,High,True
38,38Mercik2024,High,High,High,High,True
39,39Tegos2014838,High,Moderate,Moderate,High,True
4,4Cruz2017,Moderate,Moderate,Moderate,Moderate,True
40,40Kuran2018,High,High,High,High,True
41,41Petersen2023301,High,Unclear,Low,High,True
42,42Huffer201581,Unclear,High,Low,High,True
43,43ali2018indonesian,Unclear,High,High,High,True
44,44Shiue2016,High,High,High,High,True
45,45Yu2016727,High,Unclear,High,High,True
46,46Stirling2022,High,Unclear,Low,High,True
47,47Clara2010156,High,High,High,High,True
48,48Moketar2021,High,High,High,High,True
49,49Huizenga2007127,High,High,High,High,True
5,5kazanidis2018alpha,High,Low,Moderate,Moderate,True
50,50Lye2013,High,High,High,High,True
51,51Ardito2007,High,High,High,High,True
52,52Lin2011265,High,High,High,High,True
53,53Perez2014,High,High,High,High,True
54,54Gibson2007,High,High,Unclear,High,True
55,55Squire2004,High,Moderate,Moderate,Moderate,True
56,56Akkerman2009449,Moderate,Moderate,Moderate,Moderate,True
57,57Huntley2011567,High,High,High,High,False
58,58Shih2015173,High,High,High,High,True
59,59Kee2014270,High,High,High,High,True
6,6Czerwinski2018,High,High,High,High,True
60,60Hoy2018,High,High,Low,High,True
61,61Karsenti202027,Moderate,Moderate,Moderate,Moderate,True
62,62Milosz201896,High,High,Unclear,High,True
63,63Liu2021,High,Unclear,Unclear,High,True
64,64Hsu201324,High,Unclear,Unclear,High,True
65,65Razak201139,High,High,High,High,True
66,66Rahmawati2023163,Unclear,Low,High,High,True
67,67Lin201296,High,Unclear,High,High,True
68,68cole2015end,High,Unclear,Low,Unclear,False
69,69Wong2017150,High,High,High,High,True
7,7Natvig2004F-1,Moderate,Moderate,Moderate,Moderate,False
70,70Hou201519,Unclear,High,High,High,True
71,71lynch2015pedagogical,Unclear,High,High,High,True
72,72hutauruk2020utilization,High,Unclear,High,High,True
73,73Wolfartsberger2011160,High,High,High,High,True
74,74Fendt2019,High,Unclear,Low,High,True
75,75trajano2014using,High,High,High,High,True
76,76Corbeil2011462,High,Low,Low,Unclear,True
77,77Ramansyah2021,High,High,High,High,True
78,78Rouse2022357,High,High,Unclear,High,True
79,79Fernes2024379,High,Low,Low,Unclear,True
8,8Yu2014,High,High,Moderate,High,True
80,80gottlieb2018your,High,High,Low,High,True
9,9Lin2018,High,Low,High,High,True
